run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,fdelta,log10_fdelta,fro_total,log10_fro_total,spec_max,log10_spec_max,spec_mean,dw_sv_max,log10_dw_sv_max,dw_sv_mean,retention_mean
frc_lora_null_lr5e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,46.0,frc_lora_null_lr5e4_c256,False,False,True,1.1823,0.0727276895852654,1035.168531060826,3.0150110610503145,150.65769958496094,2.177991331839531,21.63147462010384,150.6621,2.17800401654178,21.6292,16.39
frc_lora_null_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,42.0,frc_lora_null_lr7e4_c256,False,False,True,1.6261,0.2111472498144923,1385.1605450104328,3.14150011258556,219.47308349609372,2.341381265325704,28.762572330236434,219.4746,2.341384266181173,28.7607,14.34
frc_lora_null_lr7e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,43.0,frc_lora_null_lr7e4_c256,False,False,True,1.5955,0.2028968085295292,1379.141373890178,3.1396087873893195,204.1199188232422,2.309885386945002,28.350052058696747,204.1212,2.3098881128242463,28.3484,15.64
frc_lora_null_lr7e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,44.0,frc_lora_null_lr7e4_c256,False,False,True,1.6207,0.209702632120352,1374.6080054397964,3.138178868823881,246.0657501220703,2.391051168484861,28.85369662642479,246.0687,2.391056374849532,28.852,13.54
frc_lora_r16_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r16_lr3e4_c256,False,False,True,0.6031,-0.2196106715290472,471.9366727858797,2.6738837263781603,46.74434280395508,1.6697290582525826,17.16590243279934,46.6461,1.668815338987489,17.1526,23.0
frc_lora_r16_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r16_lr3e4_c256,False,False,True,0.6019,-0.2204756566752101,469.153845958201,2.671315280869756,42.6005973815918,1.6294156891898048,17.155373147130014,42.5762,1.6291668972930984,17.1427,24.36
frc_lora_r16_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r16_lr3e4_c256,False,False,True,0.6031,-0.2196106715290472,470.6354090964501,2.672684598991061,48.23137664794922,1.6833296579839894,17.20222412645817,48.1827,1.6828911327782718,17.1891,23.32
frc_lora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r32_lr3e4_c256,False,False,True,0.7393,-0.1311792938024826,593.0909417841382,2.7731212911498315,60.15299224853516,1.779257235744113,17.639408084750176,60.154,1.779264511479166,17.637,22.19
frc_lora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r32_lr3e4_c256,False,False,True,0.7589,-0.1198154471735665,593.3101490724205,2.7732817773757983,68.69705963134766,1.8369381488032357,17.806461983919142,68.6977,1.8369421971173463,17.8038,22.34
frc_lora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r32_lr3e4_c256,False,False,True,0.7255,-0.1393625832262453,591.5124592951211,2.7719638968018727,59.6598014831543,1.7756818039218851,17.56297543644905,59.6615,1.775694168126506,17.5605,21.6
frc_lora_r32_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r32_lr3e4_c256,False,False,True,0.7473,-0.126505017743831,592.3898223705768,2.772607588461144,58.85706329345703,1.7697985889347725,17.68069359064102,58.8574,1.7698010734178091,17.6781,21.86
frc_lora_r32_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,46.0,frc_lora_r32_lr3e4_c256,False,False,True,0.7621,-0.1179880383733413,592.2331711483135,2.7724927286919496,57.48810195922852,1.759577970113341,17.746307069063185,57.4887,1.7595824879952544,17.7444,22.66
frc_lora_r8_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r8_lr3e4_c256,False,False,True,0.5178,-0.2858379539011467,375.9032337262316,2.575076061769725,45.39985275268555,1.657054444293231,16.533666971325875,45.3324,1.65640871220153,16.5292,23.96
