run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,retention_mean,retention_broad,adapt,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,fdelta,log10_fdelta
frc_lora_null_lr5e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,46.0,frc_lora_null_lr5e4_c256,False,False,True,16.39,24.48,72.26,24.11,8.67,23.15,32.76,33.72,1.1823,0.0727276895852654
frc_lora_null_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,42.0,frc_lora_null_lr7e4_c256,False,False,True,14.34,24.49,63.86,21.76,6.93,23.09,31.23,39.42,1.6261,0.2111472498144923
frc_lora_null_lr7e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,43.0,frc_lora_null_lr7e4_c256,False,False,True,15.64,24.96,62.49,24.05,7.22,23.06,31.83,38.65,1.5955,0.2028968085295292
frc_lora_null_lr7e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,44.0,frc_lora_null_lr7e4_c256,False,False,True,13.54,23.93,64.43,19.66,7.41,23.02,32.17,37.39,1.6207,0.209702632120352
frc_lora_r16_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r16_lr3e4_c256,False,False,True,23.0,32.13,79.56,30.38,15.62,41.7,38.82,34.11,0.6031,-0.2196106715290472
frc_lora_r16_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r16_lr3e4_c256,False,False,True,24.36,32.34,78.63,32.79,15.92,39.39,37.46,36.16,0.6019,-0.2204756566752101
frc_lora_r16_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r16_lr3e4_c256,False,False,True,23.32,31.95,79.91,31.27,15.37,40.12,37.46,35.55,0.6031,-0.2196106715290472
frc_lora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r32_lr3e4_c256,False,False,True,22.19,29.82,73.46,30.86,13.52,32.89,37.2,34.62,0.7393,-0.1311792938024826
frc_lora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r32_lr3e4_c256,False,False,True,22.34,30.43,78.58,29.98,14.69,34.87,36.77,35.82,0.7589,-0.1198154471735665
frc_lora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r32_lr3e4_c256,False,False,True,21.6,28.28,76.75,29.66,13.55,29.95,35.15,33.09,0.7255,-0.1393625832262453
frc_lora_r32_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r32_lr3e4_c256,False,False,True,21.86,30.08,78.63,30.21,13.51,36.5,37.12,33.07,0.7473,-0.126505017743831
frc_lora_r32_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,46.0,frc_lora_r32_lr3e4_c256,False,False,True,22.66,30.29,77.81,29.8,15.51,34.08,37.97,34.07,0.7621,-0.1179880383733413
frc_lora_r8_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r8_lr3e4_c256,False,False,True,23.96,32.86,78.99,31.45,16.47,43.36,39.42,33.58,0.5178,-0.2858379539011467
frc_lora_r8_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r8_lr3e4_c256,False,False,True,24.95,32.98,78.95,32.47,17.43,40.9,37.71,36.41,0.5068,-0.2951633937885962
frc_lora_r8_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r8_lr3e4_c256,False,False,True,24.83,32.7,78.37,31.88,17.78,42.23,37.46,34.15,0.5245,-0.2802545074704233
frc_lora_r8_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r8_lr3e4_c256,False,False,True,25.04,31.99,61.18,33.08,17.0,40.51,36.6,32.74,0.5165,-0.2869296741443606
frc_lorawd_wd0_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,42.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,3.32,20.17,38.63,6.65,0.0,23.02,23.81,47.38,7.04,0.8475726591421122
frc_lorawd_wd0_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,43.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,3.12,19.94,37.13,6.24,0.0,23.8,25.26,44.39,5.4008,0.7324580949807639
frc_lorawd_wd0_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.001,44.0,frc_lorawd_wd0_lr1e3_c256,False,False,True,6.1,21.41,41.01,12.06,0.13,23.69,26.45,44.71,5.1609,0.7127254440594999
frc_lorawd_wd0_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,42.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,26.52,35.01,79.36,34.31,18.73,45.87,40.53,35.62,0.3002,-0.5225893120927484
frc_lorawd_wd0_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,43.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,26.2,35.21,80.93,33.24,19.16,46.77,40.36,36.52,0.299,-0.5243288116755703
frc_lorawd_wd0_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,44.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,26.9,35.14,79.64,34.2,19.61,45.23,40.27,36.39,0.299,-0.5243288116755703
frc_lorawd_wd0_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,45.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,26.38,34.67,79.96,33.42,19.33,45.41,40.36,34.83,0.2986,-0.5249101966109935
frc_lorawd_wd0_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,42.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,24.36,33.67,80.04,31.87,16.84,43.93,38.91,36.78,0.5052,-0.2965366581167069
frc_lorawd_wd0_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,43.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,24.51,33.23,32.86,31.78,17.24,41.93,38.65,36.55,0.5124,-0.2903908789273513
frc_lorawd_wd0_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,44.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,24.96,32.69,79.88,32.51,17.4,41.28,39.16,33.11,0.5136,-0.2893749849392031
frc_lorawd_wd0_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,45.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,23.55,32.25,80.19,31.38,15.72,41.77,37.63,34.75,0.5168,-0.2866774950129723
frc_lorawd_wd0_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,42.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,26.38,36.37,26.23,33.73,19.03,46.14,46.67,36.28,0.2203,-0.6569855028492324
frc_lorawd_wd0_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,43.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,26.9,36.51,29.7,34.28,19.52,46.55,45.65,36.55,0.2239,-0.6499459064209697
frc_lorawd_wd0_lr2e5_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,44.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,26.52,36.41,6.01,33.41,19.62,46.57,45.99,36.45,0.2227,-0.6522797829659618
frc_lorawd_wd0_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0003,42.0,frc_lorawd_wd0_lr3e4_c256,False,False,True,21.1,28.79,64.12,30.2,12.0,30.16,36.09,35.52,0.7468,-0.1267956907229593
