run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,log10_fdelta,retention_mean
frc_lora_null_lr5e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,43.0,frc_lora_null_lr5e4_c256,False,False,True,16.37372957874466,30.71662744406953,0.0850938131622331,0.0440280194391857,0.0832545362634049,0.0728745968109887,17.47
frc_lora_null_lr5e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,44.0,frc_lora_null_lr5e4_c256,False,False,True,16.091650897968425,30.54843757595554,0.0863008199484944,0.0438945247558598,0.0832327348351917,0.093421685162235,16.81
frc_lora_null_lr5e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,45.0,frc_lora_null_lr5e4_c256,False,False,True,16.238459304845588,30.592587811118023,0.0860821207730127,0.0440390257457486,0.0833586197658407,0.090751689644903,17.32
frc_lora_null_lr5e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,46.0,frc_lora_null_lr5e4_c256,False,False,True,16.213998901919382,30.599529377090047,0.0861137259879582,0.0438689347517817,0.0832095972872947,0.0727276895852654,16.39
frc_lora_null_lr7e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,42.0,frc_lora_null_lr7e4_c256,False,False,True,16.553714512731418,30.503496585310785,0.0855133370137244,0.04500505224393,0.0837983048888713,0.2111472498144923,14.34
frc_lora_null_lr7e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,43.0,frc_lora_null_lr7e4_c256,False,False,True,16.60983872220714,30.57842628762084,0.0853296148948467,0.0450820225743083,0.0834657974918672,0.2028968085295292,15.64
frc_lora_null_lr7e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0007,44.0,frc_lora_null_lr7e4_c256,False,False,True,16.339133932917044,30.44622183827901,0.0856156265179433,0.0450529182242652,0.0833212235224093,0.209702632120352,13.54
frc_lora_r16_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r16_lr3e4_c256,False,False,True,4.780419306035445,11.570738064662336,0.0673938404446221,0.0462746891158601,0.0657082370578634,-0.2196106715290472,23.0
frc_lora_r16_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r16_lr3e4_c256,False,False,True,4.705245066888022,11.51354979070824,0.0677962766291792,0.046249867105581,0.0659604305764806,-0.2204756566752101,24.36
frc_lora_r16_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r16_lr3e4_c256,False,False,True,4.74518959189901,11.52334176758354,0.0677264925109961,0.0462588850125258,0.0657626780721515,-0.2196106715290472,23.32
frc_lora_r32_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r32_lr3e4_c256,False,False,True,7.536649904388737,21.47571688657108,0.0693250151169291,0.0461882305092527,0.0656218512173758,-0.1311792938024826,22.19
frc_lora_r32_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r32_lr3e4_c256,False,False,True,7.289600698773939,21.3587747957811,0.0694819521311347,0.0460340510482259,0.066004578796721,-0.1198154471735665,22.34
frc_lora_r32_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,44.0,frc_lora_r32_lr3e4_c256,False,False,True,7.488523837617256,21.54971266087965,0.0686584979188747,0.046387374372473,0.0654733800450997,-0.1393625832262453,21.6
frc_lora_r32_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,45.0,frc_lora_r32_lr3e4_c256,False,False,True,7.415228310544699,21.471589481105465,0.0691554457527929,0.0464993721144412,0.0655430433839355,-0.126505017743831,21.86
frc_lora_r32_lr3e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,46.0,frc_lora_r32_lr3e4_c256,False,False,True,7.341343577997672,21.39064476835021,0.0693359294155408,0.0462179883096237,0.065706666472526,-0.1179880383733413,22.66
frc_lora_r8_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,42.0,frc_lora_r8_lr3e4_c256,False,False,True,3.1781287763907304,6.19418474715024,0.0668546039712703,0.0461812648998814,0.0660539874686427,-0.2858379539011467,23.96
frc_lora_r8_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora,LoRA,0.0003,43.0,frc_lora_r8_lr3e4_c256,False,False,True,3.1561595603466577,6.156385270597848,0.0670175708940822,0.0462785385533812,0.0662531203587452,-0.2951633937885962,24.95
